,Brand,Bluetooth_Version,Color,MRP,Selling_Price,Rating,Discount_Percentage,Discount Amount,Rating_Category
191,JBL,5.2,Grey,2210,1016,3.9,54,1194,Average
192,JBL,5.2,Black,3317,1558,4.5,53,1759,Good
193,boAt,5.3,Pink,4702,3385,4.5,28,1317,Good
194,Mivi,5.2,Blue,3606,2812,4.3,22,794,Good
195,truke,5.0,Red,3646,3208,3.9,12,438,Average
196,OnePlus,5.0,Grey,2493,1096,3.7,56,1397,Average
197,realme,5.2,Red,2700,2133,3.8,21,567,Average
198,Boult,5.2,Pink,1672,1237,4.7,26,435,Excellent
199,OnePlus,5.2,Red,4564,3149,4.5,31,1415,Good
200,OnePlus,5.0,Blue,4088,3106,4.6,24,982,Excellent
201,JBL,5.2,Black,4237,2754,3.5,35,1483,Average
202,Noise,5.3,White,3754,1614,4.4,57,2140,Good
203,JBL,5.2,Black,3763,2859,4.1,24,904,Good
204,Boult,5.1,Red,1257,628,4.6,50,629,Excellent
205,realme,5.3,Black,1571,1382,4.7,12,189,Excellent
206,realme,5.3,Black,1397,1047,4.7,25,350,Excellent
207,truke,5.3,Green,2518,1208,4.7,52,1310,Excellent
208,JBL,5.1,Green,3681,3092,4.6,16,589,Excellent
209,JBL,5.2,Black,3826,2563,3.8,33,1263,Average
210,OnePlus,5.1,Pink,2484,2086,4.8,16,398,Excellent
211,Boult,5.2,Black,2629,1919,3.7,27,710,Average
212,Noise,5.3,Black,3713,2859,4.3,23,854,Good
213,boAt,5.0,Pink,2365,1773,4.8,25,592,Excellent
214,Mivi,5.0,Pink,4133,2273,3.8,45,1860,Average
215,Mivi,5.1,White,4170,3377,4.5,19,793,Good
216,boAt,5.2,Pink,1591,1304,4.2,18,287,Good
217,truke,5.0,Red,4547,4046,3.7,11,501,Average
218,Boult,5.1,Grey,2325,2069,3.7,11,256,Average
219,boAt,5.1,Red,2723,1552,3.6,43,1171,Average
220,Noise,5.3,Green,4185,2803,4.2,33,1382,Good
221,Noise,5.3,Grey,1906,972,3.6,49,934,Average
222,realme,5.3,Red,4947,4402,3.6,11,545,Average
223,OnePlus,5.3,Green,3809,3199,4.1,16,610,Good
224,OnePlus,5.0,Black,2318,1205,3.7,48,1113,Average
225,truke,5.2,Grey,3592,1903,4.2,47,1689,Good
226,Boult,5.3,Grey,3172,2283,4.1,28,889,Good
227,JBL,5.0,Pink,3873,3214,4.6,17,659,Excellent
228,Mivi,5.3,Green,4636,3523,4.0,24,1113,Average
229,OnePlus,5.3,Green,3987,3349,3.9,16,638,Average
230,Boult,5.2,White,4904,3972,4.4,19,932,Good
231,OnePlus,5.0,Black,4405,3744,3.6,15,661,Average
232,Noise,5.2,Pink,1531,842,3.6,45,689,Average
233,Boult,5.0,Green,2447,1174,4.7,52,1273,Excellent
234,JBL,5.0,White,3458,2455,4.0,29,1003,Average
235,Mivi,5.1,Red,2974,2260,4.6,24,714,Excellent
236,Boult,5.2,Black,4122,3009,4.2,27,1113,Good
237,JBL,5.0,Grey,4804,2305,4.6,52,2499,Excellent
238,realme,5.0,Blue,2118,974,4.5,54,1144,Good
239,Boult,5.2,Black,1742,1411,4.2,19,331,Good
240,JBL,5.0,Blue,4034,2017,4.8,50,2017,Excellent
241,Noise,5.1,Green,2718,1657,3.9,39,1061,Average
242,Boult,5.2,Red,2327,954,4.7,59,1373,Excellent
243,Noise,5.0,Blue,1643,690,4.3,58,953,Good
244,Noise,5.2,Green,3710,2337,4.1,37,1373,Good
245,OnePlus,5.3,White,1881,790,4.2,58,1091,Good
246,Boult,5.3,Black,2159,1014,4.4,53,1145,Good
247,OnePlus,5.2,Black,1902,1236,4.8,35,666,Excellent
248,boAt,5.0,Blue,2233,1719,4.5,23,514,Good
249,realme,5.2,White,1490,1341,4.1,10,149,Good
250,JBL,5.1,Blue,2556,1431,4.4,44,1125,Good
251,Boult,5.0,Green,4528,1947,3.6,57,2581,Average
252,boAt,5.3,Black,4530,3171,4.2,30,1359,Good
253,JBL,5.3,White,1470,955,3.5,35,515,Average
254,Boult,5.1,Pink,4880,2488,4.1,49,2392,Good
255,Boult,5.0,Green,4458,3744,3.8,16,714,Average
256,JBL,5.0,Green,4564,3240,4.5,29,1324,Good
257,Mivi,5.2,Pink,1687,1450,4.2,14,237,Good
258,Noise,5.1,Pink,2430,1652,4.4,32,778,Good
259,truke,5.1,Black,1598,1182,3.8,26,416,Average
260,truke,5.0,Blue,4895,2006,4.3,59,2889,Good
261,OnePlus,5.3,Red,4784,2583,4.3,46,2201,Good
262,Boult,5.2,Blue,2800,2408,4.1,14,392,Good
263,realme,5.2,Grey,1229,835,4.2,32,394,Good
264,realme,5.3,Green,1153,1003,4.0,13,150,Average
265,realme,5.0,Red,4538,3857,4.3,15,681,Good
266,JBL,5.3,Grey,3269,1307,4.5,60,1962,Good
267,boAt,5.3,Pink,3340,1636,3.7,51,1704,Average
268,OnePlus,5.1,Black,2844,2388,4.6,16,456,Excellent
269,Boult,5.0,Grey,3645,2879,3.6,21,766,Average
270,OnePlus,5.3,Grey,3140,1601,3.7,49,1539,Average
271,Boult,5.2,Green,2673,1095,3.9,59,1578,Average
272,boAt,5.2,Black,2349,1973,4.2,16,376,Good
273,JBL,5.2,White,3963,1902,4.8,52,2061,Excellent
274,truke,5.2,Black,3385,1624,3.7,52,1761,Average
275,Boult,5.2,Red,3859,1852,4.0,52,2007,Average
276,Noise,5.2,Grey,2541,1245,4.5,51,1296,Good
277,truke,5.0,Red,3745,2359,4.2,37,1386,Good
278,boAt,5.2,White,1737,1337,3.9,23,400,Average
279,OnePlus,5.1,Blue,1562,1265,3.6,19,297,Average
280,Noise,5.0,Red,2378,974,4.3,59,1404,Good
281,JBL,5.1,Blue,1739,799,4.5,54,940,Good
282,truke,5.3,Black,2681,1796,4.4,33,885,Good
283,Mivi,5.3,Grey,2166,909,4.5,58,1257,Good
284,OnePlus,5.1,Grey,1978,1404,4.8,29,574,Excellent
285,OnePlus,5.1,White,3777,2039,4.8,46,1738,Excellent
286,OnePlus,5.2,Pink,2563,1486,4.2,42,1077,Good
287,truke,5.1,Pink,3475,2849,4.6,18,626,Excellent
288,boAt,5.3,Pink,2519,1385,4.7,45,1134,Excellent
289,Noise,5.2,Black,4124,3299,3.9,20,825,Average
290,truke,5.3,Black,4875,3705,4.6,24,1170,Excellent
291,Boult,5.0,Green,1217,791,4.2,35,426,Good
292,Mivi,5.3,Black,2534,1925,3.5,24,609,Average
293,Noise,5.2,Pink,1597,1309,3.5,18,288,Average
294,OnePlus,5.1,Pink,3888,2332,4.1,40,1556,Good
295,boAt,5.0,Black,2047,1576,4.6,23,471,Excellent
296,JBL,5.0,Pink,2179,1634,3.9,25,545,Average
297,boAt,5.1,Green,3616,1446,4.3,60,2170,Good
298,Noise,5.0,Pink,4706,2776,4.3,41,1930,Good
299,boAt,5.1,Red,1587,1142,4.1,28,445,Good
300,Boult,5.1,Grey,2705,2136,4.4,21,569,Good
301,Noise,5.2,Black,4904,2795,4.2,43,2109,Good
302,boAt,5.3,Pink,2924,2573,4.3,12,351,Good
303,Boult,5.2,Red,1065,724,4.5,32,341,Good
304,Boult,5.1,Red,3690,1845,3.6,50,1845,Average
305,Boult,5.1,Black,2442,1367,3.9,44,1075,Average
306,truke,5.3,Red,2959,1479,3.7,50,1480,Average
307,truke,5.0,Red,4178,2548,3.5,39,1630,Average
308,Mivi,5.0,Pink,1816,1598,3.9,12,218,Average
309,realme,5.3,Pink,3223,1933,3.8,40,1290,Average
310,Mivi,5.2,White,4530,1857,3.6,59,2673,Average
311,Boult,5.2,Black,4273,2862,4.1,33,1411,Good
312,JBL,5.3,Green,2387,1885,4.1,21,502,Good
313,OnePlus,5.2,Pink,3125,2281,4.5,27,844,Good
314,JBL,5.0,Green,3466,2738,4.2,21,728,Good
315,Boult,5.0,Black,2342,1124,3.9,52,1218,Average
316,OnePlus,5.3,Blue,3824,2370,4.0,38,1454,Average
317,boAt,5.2,Grey,2780,2029,4.3,27,751,Good
318,boAt,5.0,Red,3610,2346,4.0,35,1264,Average
319,truke,5.0,Blue,4475,2327,4.4,48,2148,Good
320,OnePlus,5.0,Blue,1274,955,4.5,25,319,Good
321,Boult,5.2,Green,4888,2639,3.5,46,2249,Average
322,truke,5.3,White,2522,1563,4.5,38,959,Good
323,truke,5.2,Green,2286,1120,3.9,51,1166,Average
324,Noise,5.0,Red,1761,1038,4.2,41,723,Good
325,Noise,5.2,Pink,2065,929,4.1,55,1136,Good
326,realme,5.3,Blue,1501,1230,4.6,18,271,Excellent
327,OnePlus,5.1,Red,2822,2398,4.6,15,424,Excellent
328,Boult,5.2,Red,1264,695,4.2,45,569,Good
329,realme,5.1,Red,3905,1796,4.3,54,2109,Good
330,Boult,5.1,Black,1822,728,3.7,60,1094,Average
331,OnePlus,5.0,White,3268,1764,4.0,46,1504,Average
332,truke,5.0,Black,2265,1472,4.8,35,793,Excellent
333,OnePlus,5.3,Pink,2676,1445,3.6,46,1231,Average
334,Boult,5.0,Green,2907,1366,4.2,53,1541,Good
335,truke,5.1,Pink,4956,4063,4.1,18,893,Good
336,boAt,5.0,Grey,1625,1153,3.7,29,472,Average
337,Boult,5.1,White,4879,2781,4.7,43,2098,Excellent
338,Noise,5.2,Blue,3600,1980,3.9,45,1620,Average
339,realme,5.0,Grey,3624,2899,4.3,20,725,Good
340,truke,5.1,Red,3556,1564,4.7,56,1992,Excellent
341,Boult,5.0,Pink,4537,4037,3.6,11,500,Average
342,realme,5.1,Pink,3342,2138,4.3,36,1204,Good
343,boAt,5.3,Red,3233,2327,4.3,28,906,Good
344,realme,5.3,Blue,4295,2018,4.0,53,2277,Average
345,OnePlus,5.0,Red,1244,995,4.1,20,249,Good
346,OnePlus,5.3,Blue,2392,1243,3.7,48,1149,Average
347,Boult,5.2,Green,1534,644,4.0,58,890,Average
348,Noise,5.2,Blue,2909,2414,3.8,17,495,Average
349,Mivi,5.1,Black,1206,868,4.7,28,338,Excellent
350,JBL,5.1,Pink,4694,3755,4.6,20,939,Excellent
351,Boult,5.1,Pink,1651,974,4.8,41,677,Excellent
352,OnePlus,5.3,White,3036,2702,3.6,11,334,Average
353,JBL,5.3,Blue,1880,996,4.0,47,884,Average
354,boAt,5.2,Green,3446,1688,4.4,51,1758,Good
355,realme,5.0,Pink,1439,906,3.7,37,533,Average
356,realme,5.2,Pink,2650,1775,3.6,33,875,Average
357,boAt,5.1,White,3265,2350,3.6,28,915,Average
358,OnePlus,5.2,Pink,3551,1668,4.3,53,1883,Good
359,truke,5.0,Green,2527,1010,4.8,60,1517,Excellent
360,Boult,5.1,Blue,3466,2010,4.0,42,1456,Average
361,boAt,5.0,Black,1560,701,3.9,55,859,Average
362,OnePlus,5.3,Blue,3482,2019,3.7,42,1463,Average
363,Boult,5.1,Green,3524,1515,4.6,57,2009,Excellent
364,Boult,5.3,Red,3304,2345,4.1,29,959,Good
365,boAt,5.2,White,3758,3119,4.8,17,639,Excellent
366,realme,5.0,Grey,2942,2177,4.8,26,765,Excellent
367,Mivi,5.0,Grey,2966,2372,4.2,20,594,Good
368,JBL,5.1,Pink,3787,2840,3.5,25,947,Average
369,Noise,5.1,Black,2805,1963,4.0,30,842,Average
370,JBL,5.1,Green,3054,1252,4.3,59,1802,Good
371,OnePlus,5.0,Red,1564,891,3.8,43,673,Average
372,Boult,5.3,Grey,2542,1779,4.7,30,763,Excellent
373,OnePlus,5.2,Grey,2450,1151,4.5,53,1299,Good
374,realme,5.3,Blue,4920,3690,3.9,25,1230,Average
375,realme,5.1,White,4157,2993,4.4,28,1164,Good
376,OnePlus,5.2,Green,2427,1334,4.7,45,1093,Excellent
377,realme,5.2,Black,3347,1573,4.2,53,1774,Good
378,JBL,5.2,Pink,4294,3478,3.9,19,816,Average
379,realme,5.0,White,4783,2965,4.4,38,1818,Good
380,OnePlus,5.1,Blue,4390,2458,3.9,44,1932,Average
381,realme,5.1,Black,3520,1513,4.3,57,2007,Good
382,Mivi,5.0,Red,4706,2682,3.8,43,2024,Average
383,Mivi,5.0,Black,2691,1856,4.4,31,835,Good
384,Noise,5.1,Black,4949,2721,4.8,45,2228,Excellent
385,truke,5.3,Red,4828,2896,4.1,40,1932,Good
386,Mivi,5.2,White,2168,1062,3.6,51,1106,Average
387,Noise,5.1,Grey,4024,1770,4.6,56,2254,Excellent
388,boAt,5.1,Green,4612,3643,4.7,21,969,Excellent
389,boAt,5.3,Pink,3028,2392,4.7,21,636,Excellent
390,realme,5.0,Black,2221,1199,4.3,46,1022,Good
391,Boult,5.2,Green,3625,2030,4.2,44,1595,Good
392,truke,5.3,White,1788,1484,3.9,17,304,Average
393,OnePlus,5.2,Red,1761,1584,4.5,10,177,Good
394,realme,5.1,Blue,3501,1750,4.7,50,1751,Excellent
395,JBL,5.2,Black,2640,1267,3.6,52,1373,Average
396,truke,5.3,White,4832,3624,3.5,25,1208,Average
397,JBL,5.1,Green,4086,2982,4.7,27,1104,Excellent
398,realme,5.0,White,3676,2462,4.4,33,1214,Good
399,boAt,5.0,Green,2255,1804,4.0,20,451,Average
400,realme,5.0,Red,4751,3420,4.0,28,1331,Average
401,Mivi,5.1,Blue,2957,2395,4.1,19,562,Good
402,Boult,5.3,Red,3248,1948,4.5,40,1300,Good
403,Mivi,5.1,Red,4090,2126,4.6,48,1964,Excellent
404,Noise,5.3,Grey,3881,2600,3.6,33,1281,Average
405,Noise,5.0,Pink,3242,1880,3.8,42,1362,Average
406,truke,5.1,White,4498,2563,4.1,43,1935,Good
407,Mivi,5.3,Black,4680,2714,4.1,42,1966,Good
408,boAt,5.3,Blue,3101,1984,4.1,36,1117,Good
409,boAt,5.3,Red,4304,3055,4.4,29,1249,Good
410,JBL,5.2,Pink,1011,434,3.8,57,577,Average
411,Noise,5.0,Green,2410,1108,3.6,54,1302,Average
412,boAt,5.0,Green,1128,812,4.0,28,316,Average
413,truke,5.3,White,4649,3068,4.1,34,1581,Good
414,JBL,5.3,Black,3795,1821,4.6,52,1974,Excellent
415,truke,5.2,Black,1730,968,4.0,44,762,Average
416,truke,5.1,Pink,1013,425,3.5,58,588,Average
417,realme,5.3,Red,3944,2208,4.1,44,1736,Good
418,JBL,5.1,Blue,2885,1961,3.7,32,924,Average
419,Mivi,5.0,Black,4314,2070,4.0,52,2244,Average
420,boAt,5.1,Blue,1274,1070,4.3,16,204,Good
421,OnePlus,5.0,Blue,4032,3548,4.0,12,484,Average
422,Mivi,5.1,Pink,11537,528,1.6,79,11009,Poor
423,Mivi,5.2,Grey,10449,664,1.7,74,9785,Poor
424,Mivi,5.3,White,9127,531,2.1,88,8596,Poor
425,truke,5.3,Grey,10030,524,2.5,90,9506,Poor
426,JBL,5.2,Red,9705,709,1.6,82,8996,Poor
427,truke,5.3,Blue,11478,615,1.8,74,10863,Poor
428,OnePlus,5.0,Grey,9690,713,2.1,74,8977,Poor
429,JBL,5.1,White,8832,669,2.1,84,8163,Poor
430,Boult,5.0,Grey,10967,597,1.6,82,10370,Poor
431,boAt,5.0,Blue,11295,800,2.2,87,10495,Poor
